Currency,Event,Time_GMT,Impact,Signal,Actual,Forecast,Previous
USD,FOMC Financial Stability Report,20/10/2023 00:00,Low,,,,
JPY,Trade Balance,19/10/2023 00:50,Low,better,-0.43T,-0.54T,-0.55T
AUD,Employment Change,19/10/2023 01:30,High,worse,6.7K,20.6K,63.3K
AUD,Unemployment Rate,19/10/2023 00:00,High,better,3.60%,3.70%,3.70%
AUD,NAB Quarterly Business Confidence,19/10/2023 00:00,Low,,-1,,-4
CNY,New Home Prices m/m,19/10/2023 02:30,Low,,-0.30%,,-0.29%
AUD,RBA Annual Report,19/10/2023 05:30,Low,,,,
CHF,Trade Balance,19/10/2023 07:00,Low,better,6.32B,3.77B,3.81B
EUR,Current Account,19/10/2023 09:00,Low,,27.7B,,21.0B
EUR,Spanish 10-y Bond Auction,19/10/2023 09:40,Low,,4.07|2.1,,3.98|2.3
CAD,IPPI m/m,19/10/2023 13:30,Low,better,0.40%,0.30%,1.90%
CAD,RMPI m/m,19/10/2023 00:00,Low,better,3.50%,1.80%,3.00%
USD,Unemployment Claims,19/10/2023 00:00,High,better,198K,210K,211K
USD,Philly Fed Manufacturing Index,19/10/2023 00:00,Medium,worse,-9,-6.7,-13.5
USD,FOMC Member Jefferson Speaks,19/10/2023 14:00,Low,,,,
USD,Existing Home Sales,19/10/2023 15:00,Medium,better,3.96M,3.89M,4.04M
USD,CB Leading Index m/m,19/10/2023 00:00,Low,worse,-0.70%,-0.40%,-0.50%
USD,Natural Gas Storage,19/10/2023 15:30,Low,worse,97B,82B,84B
USD,Fed Chair Powell Speaks,19/10/2023 17:00,High,,,,
USD,FOMC Member Goolsbee Speaks,19/10/2023 18:20,Low,,,,
USD,FOMC Member Barr Speaks,19/10/2023 18:30,Low,,,,
USD,FOMC Member Harker Speaks,19/10/2023 22:30,Medium,,,,
NZD,Trade Balance,19/10/2023 22:45,Low,worse,-2329M,-1450M,-2273M
AUD,MI Leading Index m/m,18/10/2023 00:30,Low,,0.10%,,0.00%
CNY,Industrial Production y/y,18/10/2023 03:00,High,,4.50%,4.40%,4.50%
CNY,GDP q/y,18/10/2023 00:00,Medium,better,4.90%,4.50%,6.30%
CNY,Retail Sales y/y,18/10/2023 00:00,Medium,better,5.50%,5.00%,4.60%
CNY,Fixed Asset Investment ytd/y,18/10/2023 00:00,Low,,3.10%,3.20%,3.20%
CNY,NBS Press Conference,18/10/2023 00:00,Low,,,,
CNY,Unemployment Rate,18/10/2023 00:00,Low,better,5.00%,5.20%,5.20%
GBP,CPI y/y,18/10/2023 07:00,High,better,6.70%,6.60%,6.70%
GBP,Core CPI y/y,18/10/2023 00:00,Low,better,6.10%,6.00%,6.20%
GBP,PPI Input m/m,18/10/2023 00:00,Low,worse,0.40%,0.80%,0.80%
GBP,PPI Output m/m,18/10/2023 00:00,Low,,0.40%,0.30%,0.20%
GBP,RPI y/y,18/10/2023 00:00,Low,,8.90%,8.90%,9.10%
EUR,Italian Trade Balance,18/10/2023 09:00,Low,worse,2.07B,6.05B,6.11B
GBP,HPI y/y,18/10/2023 09:30,Low,better,0.20%,-0.50%,0.70%
EUR,Final Core CPI y/y,18/10/2023 10:00,Low,,4.50%,4.50%,4.50%
EUR,Final CPI y/y,18/10/2023 00:00,Low,,4.30%,4.30%,4.30%
EUR,German 10-y Bond Auction,18/10/2023 10:34,Low,,2.90|2.0,,2.78|2.0
CAD,Housing Starts,18/10/2023 13:15,Low,better,270K,241K,250K
USD,Building Permits,18/10/2023 13:30,Medium,,1.47M,1.45M,1.54M
USD,Housing Starts,18/10/2023 00:00,Low,worse,1.36M,1.39M,1.27M
AUD,CB Leading Index m/m,18/10/2023 15:30,Low,,-0.30%,,0.20%
USD,Crude Oil Inventories,18/10/2023 00:00,Low,better,-4.5M,-0.5M,10.2M
USD,FOMC Member Waller Speaks,18/10/2023 17:00,Medium,,,,
USD,FOMC Member Williams Speaks,18/10/2023 17:30,Low,,,,
USD,FOMC Member Bowman Speaks,18/10/2023 18:00,Low,,,,
USD,Beige Book,18/10/2023 19:00,Low,,,,
USD,FOMC Member Harker Speaks,18/10/2023 20:15,Medium,,,,
USD,TIC Long-Term Purchases,18/10/2023 21:00,Low,worse,63.5B,76.8B,9.5B
USD,FOMC Member Cook Speaks,18/10/2023 23:55,Low,,,,
AUD,Monetary Policy Meeting Minutes,17/10/2023 01:30,High,,,,
JPY,Tertiary Industry Activity m/m,17/10/2023 05:30,Low,worse,-0.10%,0.40%,1.10%
GBP,Average Earnings Index 3m/y,17/10/2023 07:00,High,worse,8.10%,8.30%,8.50%
EUR,German ZEW Economic Sentiment,17/10/2023 10:00,Medium,better,-1.1,-9.1,-11.4
EUR,ZEW Economic Sentiment,17/10/2023 00:00,Low,better,2.3,-7.7,-8.9
GBP,30-y Bond Auction,17/10/2023 10:03,Low,,4.93|2.6,,4.94|2.8
GBP,MPC Member Dhingra Speaks,17/10/2023 10:05,Low,,,,
EUR,ECOFIN Meetings,17/10/2023 00:00,Low,,,,
USD,FOMC Member Williams Speaks,17/10/2023 13:00,Low,,,,
CAD,CPI m/m,17/10/2023 13:30,High,worse,-0.10%,0.10%,0.40%
CAD,Median CPI y/y,17/10/2023 00:00,High,worse,3.80%,4.00%,4.10%
CAD,Trimmed CPI y/y,17/10/2023 00:00,High,worse,3.70%,3.80%,3.90%
CAD,Common CPI y/y,17/10/2023 00:00,Medium,worse,4.40%,4.70%,4.80%
CAD,Foreign Securities Purchases,17/10/2023 00:00,Low,worse,-8.47B,11.78B,13.93B
USD,Core Retail Sales m/m,17/10/2023 00:00,High,better,0.60%,0.20%,0.90%
USD,Retail Sales m/m,17/10/2023 00:00,High,better,0.70%,0.30%,0.80%
CAD,Core CPI m/m,17/10/2023 13:32,Low,,-0.10%,,0.10%
USD,Industrial Production m/m,17/10/2023 14:15,Medium,better,0.30%,0.00%,0.00%
USD,Capacity Utilization Rate,17/10/2023 00:00,Low,,79.70%,79.60%,79.50%
USD,FOMC Member Bowman Speaks,17/10/2023 14:20,Low,,,,
USD,Business Inventories m/m,17/10/2023 15:00,Low,worse,0.40%,0.30%,0.10%
USD,NAHB Housing Market Index,17/10/2023 00:00,Low,worse,40,44,44
NZD,GDT Price Index,17/10/2023 15:50,Low,,4.30%,,4.40%
EUR,German Buba President Nagel Speaks,17/10/2023 18:00,Low,,,,
AUD,RBA Gov Bullock Speaks,17/10/2023 23:35,High,,,,
GBP,Rightmove HPI m/m,16/10/2023 00:01,Low,,0.50%,,0.40%
JPY,Revised Industrial Production m/m,16/10/2023 05:30,Low,worse,-0.70%,0.00%,0.00%
EUR,German WPI m/m,16/10/2023 07:00,Low,,0.20%,0.30%,0.20%
GBP,MPC Member Pill Speaks,16/10/2023 09:30,Low,,,,
EUR,Trade Balance,16/10/2023 10:00,Low,better,11.9B,5.4B,3.5B
EUR,Eurogroup Meetings,16/10/2023 00:00,Low,,,,
CAD,Manufacturing Sales m/m,16/10/2023 13:30,Low,worse,0.70%,1.10%,1.60%
CAD,Wholesale Sales m/m,16/10/2023 00:00,Low,worse,2.30%,2.50%,0.00%
USD,Empire State Manufacturing Index,16/10/2023 00:00,High,better,-4.6,-6.4,1.9
CAD,BOC Business Outlook Survey,16/10/2023 15:30,Medium,,,,
USD,FOMC Member Harker Speaks,16/10/2023 00:00,Medium,,,,
USD,FOMC Member Harker Speaks,16/10/2023 21:30,Medium,,,,
NZD,CPI q/q,16/10/2023 22:45,High,worse,1.80%,1.90%,1.10%
All,IMF Meetings,15/10/2023 00:00,Low,,,,
NZD,BusinessNZ Services Index,15/10/2023 22:30,Low,,50.7,,47.7
EUR,German Buba President Nagel Speaks,14/10/2023 13:00,Low,,,,
All,IMF Meetings,14/10/2023 00:00,Low,,,,
GBP,BOE Gov Bailey Speaks,14/10/2023 16:00,High,,,,
EUR,ECB President Lagarde Speaks,14/10/2023 16:10,Medium,,,,
JPY,M2 Money Stock y/y,13/10/2023 00:50,Low,,2.40%,2.40%,2.50%
CNY,CPI y/y,13/10/2023 02:30,High,worse,0.00%,0.20%,0.10%
CNY,PPI y/y,13/10/2023 00:00,Medium,,-2.50%,-2.40%,-3.00%
CNY,Trade Balance,13/10/2023 04:09,Low,better,559B,510B,488B
CNY,USD-Denominated Trade Balance,13/10/2023 04:10,Low,better,77.7B,70.3B,68.4B
CHF,PPI m/m,13/10/2023 07:30,Low,worse,-0.10%,0.20%,-0.20%
EUR,German Buba President Nagel Speaks,13/10/2023 07:45,Low,,,,
EUR,French Final CPI m/m,13/10/2023 00:00,Low,,-0.50%,-0.50%,-0.50%
GBP,BOE Gov Bailey Speaks,13/10/2023 09:00,High,,,,
CNY,New Loans,13/10/2023 09:02,Medium,worse,2310B,2500B,1360B
CNY,M2 Money Supply y/y,13/10/2023 00:00,Low,worse,10.30%,10.70%,10.60%
EUR,Industrial Production m/m,13/10/2023 10:00,Low,better,0.60%,0.10%,-1.30%
USD,Import Prices m/m,13/10/2023 13:30,Low,worse,0.10%,0.60%,0.60%
EUR,ECB President Lagarde Speaks,13/10/2023 14:00,Medium,,,,
USD,FOMC Member Harker Speaks,13/10/2023 00:00,Medium,,,,
GBP,CB Leading Index m/m,13/10/2023 14:30,Low,,-0.80%,,-0.80%
USD,Prelim UoM Consumer Sentiment,13/10/2023 15:00,High,worse,63,67.2,68.1
USD,Prelim UoM Inflation Expectations,13/10/2023 00:00,Medium,,3.80%,,3.20%
All,IMF Meetings,13/10/2023 00:00,Low,,,,
GBP,MPC Member Cunliffe Speaks,13/10/2023 17:30,Low,,,,
NZD,Parliamentary Elections,13/10/2023 00:00,High,,,,
GBP,RICS House Price Balance,12/10/2023 00:01,Low,worse,-69%,-60%,-68%
JPY,Bank Lending y/y,12/10/2023 00:50,Low,worse,2.90%,3.10%,3.10%
JPY,Core Machinery Orders m/m,12/10/2023 00:00,Low,worse,-0.50%,0.70%,-1.10%
JPY,PPI y/y,12/10/2023 00:00,Low,worse,2.00%,2.40%,3.30%
AUD,MI Inflation Expectations,12/10/2023 01:00,Low,,4.80%,,4.60%
GBP,GDP m/m,12/10/2023 07:00,High,,0.20%,0.20%,-0.60%
GBP,Construction Output m/m,12/10/2023 00:00,Low,worse,-0.50%,0.00%,-0.40%
GBP,Goods Trade Balance,12/10/2023 00:00,Low,worse,-16.0B,-14.8B,-13.9B
GBP,Index of Services 3m/3m,12/10/2023 00:00,Low,,0.10%,0.10%,-0.10%
GBP,Industrial Production m/m,12/10/2023 00:00,Low,worse,-0.70%,-0.20%,-1.10%
GBP,Manufacturing Production m/m,12/10/2023 00:00,Low,worse,-0.80%,-0.30%,-1.20%
GBP,BOE Credit Conditions Survey,12/10/2023 09:30,Low,,,,
GBP,MPC Member Pill Speaks,12/10/2023 10:00,Low,,,,
EUR,ECB Monetary Policy Meeting Accounts,12/10/2023 12:30,Low,,,,
GBP,NIESR GDP Estimate,12/10/2023 13:18,Low,,-0.10%,,0.30%
USD,Core CPI m/m,12/10/2023 13:30,High,,0.30%,0.30%,0.30%
USD,CPI m/m,12/10/2023 00:00,High,better,0.40%,0.30%,0.60%
USD,CPI y/y,12/10/2023 00:00,High,better,3.70%,3.60%,3.70%
USD,Unemployment Claims,12/10/2023 00:00,High,,209K,211K,209K
All,IMF Meetings,12/10/2023 00:00,Low,,,,
USD,Natural Gas Storage,12/10/2023 15:30,Low,,84B,85B,86B
USD,Crude Oil Inventories,12/10/2023 16:00,Low,worse,10.2M,-0.4M,-2.2M
USD,30-y Bond Auction,12/10/2023 18:01,Low,,4.84|2.3,,4.35|2.5
NZD,BusinessNZ Manufacturing Index,12/10/2023 22:30,Low,,45.3,,46.1
AUD,RBA Assist Gov Kent Speaks,11/10/2023 01:30,Low,,,,
JPY,Prelim Machine Tool Orders y/y,11/10/2023 06:58,Low,,-11.20%,,-17.60%
EUR,German Final CPI m/m,11/10/2023 07:00,Low,,0.30%,0.30%,0.30%
USD,FOMC Member Bowman Speaks,11/10/2023 09:15,Low,,,,
GBP,10-y Bond Auction,11/10/2023 10:07,Low,,4.44|3.1,,4.32|2.6
EUR,German 30-y Bond Auction,11/10/2023 10:30,Low,,2.87|2.9,,2.79|2.3
CAD,Building Permits m/m,11/10/2023 13:30,Low,better,3.40%,1.50%,-3.80%
USD,Core PPI m/m,11/10/2023 00:00,High,better,0.30%,0.20%,0.20%
USD,PPI m/m,11/10/2023 00:00,High,better,0.50%,0.30%,0.70%
USD,FOMC Member Waller Speaks,11/10/2023 15:15,Medium,,,,
All,IMF Meetings,11/10/2023 00:00,Low,,,,
USD,10-y Bond Auction,11/10/2023 18:01,Low,,4.61|2.5,,4.29|2.5
USD,FOMC Meeting Minutes,11/10/2023 19:00,High,,,,
NZD,FPI m/m,11/10/2023 22:45,Low,,-0.40%,,0.50%
GBP,BRC Retail Sales Monitor y/y,10/10/2023 00:01,Low,worse,2.80%,3.10%,4.30%
AUD,Westpac Consumer Sentiment,10/10/2023 00:30,Low,,2.90%,,-1.50%
JPY,Current Account,10/10/2023 00:50,Low,worse,1.63T,2.41T,2.77T
AUD,NAB Business Confidence,10/10/2023 01:30,Medium,,1,,1
JPY,Economy Watchers Sentiment,10/10/2023 06:00,Low,worse,49.9,53.2,53.6
EUR,Italian Industrial Production m/m,10/10/2023 09:00,Low,better,0.20%,-0.30%,-0.90%
GBP,FPC Meeting Minutes,10/10/2023 10:30,Low,,,,
GBP,FPC Statement,10/10/2023 00:00,Low,,,,
USD,NFIB Small Business Index,10/10/2023 10:56,Low,,90.8,91.1,91.3
EUR,ECB President Lagarde Speaks,10/10/2023 13:00,Medium,,,,
USD,Final Wholesale Inventories m/m,10/10/2023 15:00,Low,,-0.10%,-0.10%,-0.10%
All,IMF Meetings,10/10/2023 00:00,Low,,,,
USD,FOMC Member Waller Speaks,10/10/2023 18:00,Medium,,,,
USD,FOMC Member Kashkari Speaks,10/10/2023 20:00,Low,,,,
NZD,Visitor Arrivals m/m,10/10/2023 22:45,Low,,-4.10%,,1.80%
JPY,Bank Holiday,09/10/2023 00:00,Non-Economic,,,,
EUR,German Industrial Production m/m,09/10/2023 07:00,Low,,-0.20%,-0.10%,-0.60%
EUR,Sentix Investor Confidence,09/10/2023 09:30,Low,better,-21.9,-24,-21.5
CAD,Bank Holiday,09/10/2023 00:00,Non-Economic,,,,
USD,Bank Holiday,09/10/2023 00:00,Non-Economic,,,,
USD,FOMC Member Logan Speaks,09/10/2023 14:00,Low,,,,
USD,FOMC Member Barr Speaks,09/10/2023 14:15,Low,,,,
All,IMF Meetings,09/10/2023 00:00,Low,,,,
USD,FOMC Member Jefferson Speaks,09/10/2023 17:50,Low,,,,
GBP,MPC Member Mann Speaks,09/10/2023 21:00,Low,,,,
JPY,Average Cash Earnings y/y,06/10/2023 00:30,Low,worse,1.10%,1.50%,1.10%
JPY,Household Spending y/y,06/10/2023 00:00,Low,better,-2.50%,-4.00%,-5.00%
CNY,Bank Holiday,06/10/2023 00:00,Non-Economic,,,,
AUD,RBA Financial Stability Review,06/10/2023 01:30,Low,,,,
JPY,Leading Indicators,06/10/2023 06:00,Low,better,109.50%,109.00%,108.20%
CHF,Unemployment Rate,06/10/2023 06:45,Low,,2.10%,2.10%,2.10%
EUR,German Factory Orders m/m,06/10/2023 07:00,Low,better,3.90%,1.60%,-11.30%
GBP,Halifax HPI m/m,06/10/2023 00:00,Low,better,-0.40%,-0.80%,-1.80%
EUR,French Trade Balance,06/10/2023 07:45,Low,better,-8.2B,-8.9B,-8.1B
CHF,Foreign Currency Reserves,06/10/2023 08:00,Medium,,678B,,694B
EUR,Italian Retail Sales m/m,06/10/2023 09:00,Low,worse,-0.40%,0.00%,0.40%
CAD,Employment Change,06/10/2023 13:30,High,better,63.8K,22.1K,39.9K
CAD,Unemployment Rate,06/10/2023 00:00,High,better,5.50%,5.60%,5.50%
USD,Average Hourly Earnings m/m,06/10/2023 00:00,High,worse,0.20%,0.30%,0.20%
USD,Non-Farm Employment Change,06/10/2023 00:00,High,better,336K,171K,227K
USD,Unemployment Rate,06/10/2023 00:00,High,worse,3.80%,3.70%,3.80%
USD,FOMC Member Waller Speaks,06/10/2023 17:00,Medium,,,,
USD,President Biden Speaks,06/10/2023 17:21,Low,,,,
USD,Consumer Credit m/m,06/10/2023 20:00,Low,worse,-15.6B,11.7B,11.0B
NZD,ANZ Commodity Prices m/m,05/10/2023 01:00,Low,,1.30%,,-2.90%
CNY,Bank Holiday,05/10/2023 00:00,Non-Economic,,,,
AUD,Goods Trade Balance,05/10/2023 01:30,Low,better,9.64B,8.62B,7.32B
JPY,30-y Bond Auction,05/10/2023 04:35,Low,,1.69|3.1,,1.64|3.5
EUR,German Trade Balance,05/10/2023 07:00,Low,better,16.6B,14.9B,16.0B
EUR,French Industrial Production m/m,05/10/2023 07:45,Low,better,-0.30%,-0.40%,0.50%
GBP,Construction PMI,05/10/2023 09:30,Medium,worse,45,50,50.8
GBP,Housing Equity Withdrawal q/q,05/10/2023 00:00,Low,worse,-23.2B,-14.5B,-22.2B
EUR,Spanish 10-y Bond Auction,05/10/2023 09:40,Low,,3.98|2.3,,3.66|1.7
EUR,French 10-y Bond Auction,05/10/2023 09:55,Low,,3.56|1.9,,3.15|1.7
GBP,MPC Member Broadbent Speaks,05/10/2023 10:45,Low,,,,
USD,Challenger Job Cuts y/y,05/10/2023 12:30,Low,,58.20%,,266.90%
CAD,Trade Balance,05/10/2023 13:30,Low,better,0.7B,-1.4B,-0.4B
USD,Unemployment Claims,05/10/2023 00:00,High,,207K,211K,205K
USD,Trade Balance,05/10/2023 00:00,Low,better,-58.3B,-60.5B,-64.7B
EUR,German Buba President Nagel Speaks,05/10/2023 14:00,Low,,,,
CAD,Ivey PMI,05/10/2023 15:00,Medium,better,53.1,50.8,53.5
USD,Natural Gas Storage,05/10/2023 15:30,Low,better,86B,97B,90B
EUR,German Buba President Nagel Speaks,05/10/2023 16:00,Low,,,,
USD,FOMC Member Barr Speaks,05/10/2023 17:15,Low,,,,
CNY,Bank Holiday,04/10/2023 00:00,Non-Economic,,,,
NZD,Official Cash Rate,04/10/2023 02:00,High,,5.50%,5.50%,5.50%
NZD,RBNZ Rate Statement,04/10/2023 00:00,High,,,,
EUR,Spanish Services PMI,04/10/2023 08:15,Low,better,50.5,49.7,49.3
EUR,Italian Services PMI,04/10/2023 08:45,Low,,49.9,50.1,49.8
EUR,French Final Services PMI,04/10/2023 08:50,Low,better,44.4,43.9,43.9
EUR,German Final Services PMI,04/10/2023 08:55,Low,better,50.3,49.8,49.8
EUR,Final Services PMI,04/10/2023 09:00,Low,,48.7,48.4,48.4
EUR,ECB President Lagarde Speaks,04/10/2023 09:15,Medium,,,,
GBP,Final Services PMI,04/10/2023 09:30,Low,better,49.3,47.2,47.2
EUR,PPI m/m,04/10/2023 10:00,Low,,0.60%,0.60%,-0.50%
EUR,Retail Sales m/m,04/10/2023 00:00,Low,worse,-1.20%,-0.50%,-0.10%
All,OPEC-JMMC Meetings,04/10/2023 00:00,Medium,,,,
USD,ADP Non-Farm Employment Change,04/10/2023 13:15,High,worse,89K,154K,180K
USD,Final Services PMI,04/10/2023 14:45,Low,,50.1,50.2,50.2
USD,ISM Services PMI,04/10/2023 15:00,High,,53.6,53.5,54.5
USD,Factory Orders m/m,04/10/2023 00:00,Low,better,1.20%,0.20%,-2.10%
USD,FOMC Member Bowman Speaks,04/10/2023 15:25,Low,,,,
USD,Crude Oil Inventories,04/10/2023 15:30,Low,better,-2.2M,-0.1M,-2.2M
USD,FOMC Member Goolsbee Speaks,04/10/2023 00:00,Low,,,,
EUR,ECB President Lagarde Speaks,04/10/2023 17:00,Medium,,,,
GBP,BRC Shop Price Index y/y,03/10/2023 00:01,Low,,6.20%,,6.90%
JPY,Monetary Base y/y,03/10/2023 00:50,Low,better,5.60%,1.60%,1.20%
CNY,Bank Holiday,03/10/2023 00:00,Non-Economic,,,,
AUD,ANZ Job Advertisements m/m,03/10/2023 01:30,Low,,-0.10%,,1.70%
AUD,Building Approvals m/m,03/10/2023 00:00,Low,better,7.00%,2.70%,-7.40%
AUD,Cash Rate,03/10/2023 04:30,High,,4.10%,4.10%,4.10%
AUD,RBA Rate Statement,03/10/2023 00:00,High,,,,
JPY,10-y Bond Auction,03/10/2023 04:35,Low,,0.77|3.9,,0.66|4.0
AUD,Commodity Prices y/y,03/10/2023 06:30,Low,,-22.00%,,-22.90%
CHF,CPI m/m,03/10/2023 07:30,High,worse,-0.10%,0.00%,0.20%
EUR,French Gov Budget Balance,03/10/2023 07:45,Low,,-187.9B,,-169.0B
